日期,收市,開市,高,低,成交量,更改%
2000年5月26日,"10,299.24","10,322.89","10,387.66","10,258.81",129.20M,-0.24%
2000年5月25日,"10,323.92","10,529.87","10,558.65","10,266.00",184.38M,-2.01%
2000年5月24日,"10,535.35","10,420.90","10,554.88","10,364.01",225.35M,1.08%
2000年5月23日,"10,422.28","10,539.12","10,557.45","10,416.78",157.08M,-1.14%
2000年5月22日,"10,542.55","10,624.79","10,664.54","10,369.49",185.57M,-0.79%
2000年5月19日,"10,626.86","10,764.22","10,764.22","10,570.65",188.27M,-1.40%
2000年5月18日,"10,777.28","10,771.80","10,864.32","10,764.26",161.22M,0.07%
2000年5月17日,"10,769.74","10,930.64","10,930.64","10,752.61",169.57M,-1.51%
2000年5月16日,"10,934.57","10,816.01","10,971.24","10,816.01",181.92M,1.17%
2000年5月15日,"10,807.78","10,606.97","10,811.55","10,605.26",155.81M,1.87%
2000年5月12日,"10,609.37","10,549.06","10,673.79","10,543.92",137.77M,0.60%
2000年5月11日,"10,545.97","10,369.27","10,575.10","10,369.27",185.72M,1.72%
2000年5月10日,"10,367.79","10,533.09","10,533.09","10,292.10",225.97M,-1.60%
2000年5月9日,"10,536.75","10,607.54","10,684.85","10,514.25",166.32M,-0.63%
2000年5月8日,"10,603.64","10,571.31","10,627.85","10,522.07",144.18M,0.24%
2000年5月5日,"10,577.86","10,409.70","10,585.92","10,375.81",138.30M,1.59%
2000年5月4日,"10,412.50","10,478.89","10,523.10","10,407.53",169.17M,-0.65%
2000年5月3日,"10,480.13","10,732.21","10,732.21","10,400.09",200.22M,-2.34%
2000年5月2日,"10,731.13","10,805.58","10,824.50","10,710.02",208.61M,-0.75%
2000年5月1日,"10,811.79","10,749.42","10,926.26","10,724.22",174.02M,0.73%
2000年4月28日,"10,733.92","10,892.76","10,959.23","10,715.30",173.52M,-1.42%
2000年4月27日,"10,888.11","10,941.91","10,941.91","10,747.25",192.92M,-0.52%
2000年4月26日,"10,945.50","11,127.92","11,141.88","10,902.06",198.97M,-1.61%
2000年4月25日,"11,124.83","10,916.65","11,136.61","10,881.04",240.20M,2.01%
2000年4月24日,"10,906.10","10,822.33","10,910.75","10,695.44",295.33M,0.57%
2000年4月20日,"10,844.06","10,668.19","10,845.29","10,665.09",158.39M,1.58%
2000年4月19日,"10,674.97","10,748.97","10,789.44","10,632.15",193.86M,-0.86%
2000年4月18日,"10,767.42","10,584.02","10,773.93","10,571.34",218.38M,1.75%
2000年4月17日,"10,582.52","10,303.29","10,583.75","10,232.55",247.52M,2.69%
2000年4月14日,"10,305.78","10,922.85","10,922.85","10,201.53",267.58M,-5.66%
2000年4月13日,"10,923.55","11,132.58","11,144.06","10,920.76",200.24M,-1.81%
2000年4月12日,"11,125.14","11,283.05","11,425.45","11,116.75",234.78M,-1.43%
2000年4月11日,"11,287.09","11,180.98","11,361.15","11,102.48",171.13M,0.90%
2000年4月10日,"11,186.57","11,114.89","11,287.70","11,097.21",150.07M,0.68%
2000年4月7日,"11,111.49","11,122.03","11,192.45","11,062.77",156.50M,-0.03%
2000年4月6日,"11,114.28","11,029.56","11,201.14","11,029.56",161.82M,0.73%
2000年4月5日,"11,033.93","11,163.29","11,218.21","11,002.58",189.31M,-1.17%
2000年4月4日,"11,164.85","11,225.34","11,418.24","10,717.78",319.28M,-0.51%
2000年4月3日,"11,221.94","10,863.28","11,223.79","10,862.97",279.95M,2.75%
2000年3月31日,"10,921.93","10,993.28","11,107.76","10,921.92",179.59M,-0.53%
2000年3月30日,"10,980.25","11,008.17","11,144.06","10,916.34",214.19M,-0.35%
2000年3月29日,"11,018.72","10,939.05","11,101.55","10,910.75",199.37M,0.76%
2000年3月28日,"10,936.12","11,023.68","11,094.34","10,932.78",177.78M,-0.81%
2000年3月27日,"11,025.86","11,093.25","11,170.82","10,982.73",184.88M,-0.78%
2000年3月24日,"11,112.73","11,107.45","11,234.65","11,045.09",217.14M,-0.06%
2000年3月23日,"11,119.86","10,884.38","11,136.61","10,831.02",224.71M,2.33%
2000年3月22日,"10,866.70","10,916.96","10,917.27","10,789.13",195.83M,-0.37%
2000年3月21日,"10,907.35","10,680.24","10,907.34","10,603.61",211.95M,2.13%
2000年3月20日,"10,680.25","10,594.75","10,727.71","10,586.99",177.73M,0.80%
2000年3月17日,"10,595.24","10,629.98","10,763.38","10,567.31",247.83M,-0.33%
2000年3月16日,"10,630.61","10,139.58","10,632.46","10,138.34",253.79M,4.93%
2000年3月15日,"10,131.42","9,808.15","10,180.20","9,776.49",204.92M,3.26%
2000年3月14日,"9,811.24","9,957.67","10,043.30","9,811.24",186.08M,-1.37%
2000年3月13日,"9,947.13","9,911.22","9,998.55","9,735.54",186.21M,0.18%
2000年3月10日,"9,928.83","10,008.55","10,091.39","9,907.26",197.44M,-0.82%
2000年3月9日,"10,010.73","9,855.29","10,010.73","9,738.95",187.36M,1.56%
2000年3月8日,"9,856.54","9,800.69","9,918.89","9,731.81",223.31M,0.62%
2000年3月7日,"9,796.04","10,197.61","10,229.14","9,752.68",278.18M,-3.68%
2000年3月6日,"10,170.51","10,358.96","10,383.95","10,121.48",172.59M,-1.90%
2000年3月3日,"10,367.20","10,171.12","10,443.52","10,171.12",210.28M,1.99%
2000年3月2日,"10,164.92","10,135.44","10,212.39","10,103.49",206.51M,0.27%
2000年3月1日,"10,137.93","10,128.11","10,186.33","10,084.56",216.78M,0.09%
2000年2月29日,"10,128.31","10,039.58","10,204.94","10,029.96",191.36M,0.89%
2000年2月28日,"10,038.66","9,854.66","10,156.54","9,842.57",213.19M,1.79%
2000年2月25日,"9,862.12","10,090.77","10,132.42","9,836.06",195.10M,-2.28%
2000年2月24日,"10,092.64","10,242.48","10,248.06","9,942.78",237.41M,-1.30%
2000年2月23日,"10,225.73","10,294.82","10,338.35","10,164.92",185.23M,-0.77%
2000年2月22日,"10,304.85","10,219.83","10,336.79","10,103.80",194.20M,0.83%
2000年2月18日,"10,219.53","10,514.57","10,517.75","10,199.98",208.93M,-2.81%
2000年2月17日,"10,514.57","10,565.76","10,671.86","10,454.61",195.83M,-0.44%
2000年2月16日,"10,561.42","10,711.82","10,741.67","10,561.41",163.24M,-1.46%
2000年2月15日,"10,718.10","10,520.15","10,763.07","10,494.48",183.32M,1.88%
