日期,收市,開市,高,低,成交量,更改%
2019年7月25日,"1,202.50","1,207.80","1,211.00","1,198.00",-,-0.19%
2019年7月24日,"1,204.80","1,211.00","1,211.40","1,200.20",-,-0.65%
2019年7月23日,"1,212.70","1,214.60","1,220.10","1,211.00",-,0.51%
2019年7月22日,"1,206.50","1,204.40","1,212.00","1,202.20",-,0.11%
2019年7月19日,"1,205.20","1,208.00","1,211.50","1,199.70",-,0.25%
2019年7月18日,"1,202.20","1,203.70","1,206.70","1,201.00",-,-0.60%
2019年7月17日,"1,209.50","1,213.80","1,216.70","1,207.30",-,-0.58%
2019年7月16日,"1,216.50","1,209.30","1,218.80","1,209.00",-,0.60%
2019年7月15日,"1,209.30","1,205.20","1,212.00","1,202.00",-,0.36%
2019年7月12日,"1,205.00","1,208.50","1,210.30","1,203.10",-,-0.10%
2019年7月11日,"1,206.20","1,212.80","1,213.80","1,204.50",-,-0.27%
2019年7月10日,"1,209.50","1,208.00","1,214.00","1,206.80",-,-0.07%
2019年7月9日,"1,210.30","1,211.50","1,213.20","1,207.20",-,-0.18%
2019年7月8日,"1,212.50","1,211.20","1,216.30","1,210.80",-,-0.04%
2019年7月5日,"1,213.00","1,219.40","1,219.80","1,211.20",-,-0.70%
2019年7月4日,"1,221.50","1,222.70","1,224.50","1,220.80",-,-0.06%
2019年7月3日,"1,222.20","1,216.50","1,224.00","1,216.30",-,0.67%
2019年7月2日,"1,214.10","1,208.60","1,215.00","1,206.00",-,0.80%
2019年7月1日,"1,204.50","1,203.50","1,209.30","1,202.00",-,1.02%
