日期,收市,開市,高,低,成交量,更改%
2020年11月26日,"5,566.79","5,589.38","5,592.78","5,559.72",65.75M,-0.08%
2020年11月25日,"5,571.29","5,577.97","5,589.78","5,545.01",113.62M,0.23%
2020年11月24日,"5,558.42","5,546.07","5,574.69","5,536.11",124.94M,1.21%
2020年11月23日,"5,492.15","5,543.83","5,555.83","5,492.15",95.99M,-0.07%
2020年11月20日,"5,495.89","5,463.99","5,524.25","5,461.39",94.70M,0.39%
2020年11月19日,"5,474.66","5,458.02","5,490.18","5,449.45",93.49M,-0.67%
2020年11月18日,"5,511.45","5,468.17","5,521.01","5,452.12",90.37M,0.52%
2020年11月17日,"5,483.00","5,468.29","5,487.31","5,441.26",97.13M,0.21%
2020年11月16日,"5,471.48","5,430.57","5,518.91","5,402.31",139.10M,1.70%
2020年11月13日,"5,380.16","5,343.32","5,411.12","5,343.25",101.91M,0.33%
2020年11月12日,"5,362.57","5,394.37","5,421.40","5,348.63",103.38M,-1.52%
2020年11月11日,"5,445.21","5,433.66","5,462.95","5,408.67",111.22M,0.48%
2020年11月10日,"5,418.97","5,351.31","5,439.08","5,327.22",209.89M,1.55%
2020年11月9日,"5,336.32","5,036.92","5,387.49","5,021.33",245.97M,7.57%
2020年11月6日,"4,960.88","4,964.26","4,997.74","4,915.24",89.98M,-0.46%
2020年11月5日,"4,983.99","4,956.02","4,998.19","4,942.18",103.97M,1.24%
2020年11月4日,"4,922.85","4,736.46","4,926.56","4,730.31",112.28M,2.44%
2020年11月3日,"4,805.61","4,743.86","4,812.29","4,730.23",114.00M,2.44%
2020年11月2日,"4,691.14","4,614.95","4,705.11","4,581.86",94.94M,2.11%
2020年10月30日,"4,594.24","4,519.37","4,601.74","4,519.37",109.10M,0.54%
2020年10月29日,"4,569.67","4,571.13","4,606.72","4,512.57",120.09M,-0.03%
2020年10月28日,"4,571.12","4,635.19","4,640.63","4,521.61",162.66M,-3.37%
2020年10月27日,"4,730.66","4,818.98","4,818.98","4,723.70",107.93M,-1.77%
2020年10月26日,"4,816.12","4,844.64","4,896.47","4,814.99",85.09M,-1.90%
2020年10月23日,"4,909.64","4,843.28","4,934.71","4,843.14",80.39M,1.20%
2020年10月22日,"4,851.38","4,830.44","4,873.90","4,783.65",89.67M,-0.05%
2020年10月21日,"4,853.95","4,945.33","4,945.33","4,849.01",77.28M,-1.53%
2020年10月20日,"4,929.28","4,932.87","4,968.61","4,914.49",89.48M,-0.27%
2020年10月19日,"4,942.62","4,955.39","4,993.39","4,881.46",44.91M,0.14%
2020年10月16日,"4,935.86","4,904.10","4,957.60","4,875.76",103.41M,2.03%
2020年10月15日,"4,837.42","4,873.03","4,881.31","4,808.58",106.04M,-2.11%
2020年10月14日,"4,941.66","4,956.69","4,965.32","4,928.43",71.56M,-0.12%
2020年10月13日,"4,947.61","4,976.28","4,976.58","4,928.64",81.15M,-0.64%
2020年10月12日,"4,979.29","4,952.47","4,998.51","4,944.00",74.09M,0.66%
2020年10月9日,"4,946.81","4,925.41","4,954.02","4,918.06",82.33M,0.71%
2020年10月8日,"4,911.94","4,910.49","4,936.04","4,877.10",76.90M,0.61%
2020年10月7日,"4,882.00","4,888.49","4,915.63","4,865.26",90.53M,-0.27%
2020年10月6日,"4,895.46","4,881.80","4,925.71","4,850.36",88.77M,0.48%
2020年10月5日,"4,871.87","4,863.63","4,876.86","4,842.26",73.98M,0.97%
2020年10月2日,"4,824.88","4,769.43","4,824.88","4,757.22",78.03M,0.02%
2020年10月1日,"4,824.04","4,850.20","4,871.83","4,804.77",90.32M,0.43%
