destination,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
China,0.11,0.122,0.136103062,0.15479844,0.159701399,0.161564001,0.193198909,0.21987039,0.223954578,0.235040685,0.256522891,0.250572595,0.243432331,0.243600664,0.25659351,0.220937292,0.193801022,0.275868592,0.283310479
Japan,0.2,0.19,0.180670933,0.168601755,0.155191528,0.150927108,0.142151665,0.144661311,0.14152835,0.14882072,0.137457156,0.135546106,0.131067247,0.133284639,0.13343821,0.138063857,0.135556718,0.1418013,0.139491904
Taiwan,0.0689,0.076,0.071416771,0.06549624,0.065539922,0.057751772,0.051389458,0.062316996,0.055778126,0.051758819,0.053777304,0.054053052,0.054256485,0.054862981,0.050798319,0.055983937,0.056788447,0.066923448,0.068914497
Europe,0.6133,0.609,0.611809234,0.611103564,0.619567151,0.629757119,0.613259968,0.573151302,0.578738947,0.564379777,0.552242649,0.559828247,0.571243937,0.568251716,0.559169961,0.585014914,0.613853814,0.51540666,0.508283119
