destination,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
China,0.205272253,0.221481517,0.228960056,0.244087333,0.269064966,0.296912834,0.350236348,0.365882436,0.370359014,0.347195595,0.341585309,0.340997732,0.321092181,0.317542649,0.343137359,0.349364138,0.335601089,0.386188821,0.385548391
Europe,0.257523437,0.262063298,0.250639473,0.246838913,0.259240576,0.262799906,0.229959309,0.212404589,0.218507851,0.196108791,0.189330443,0.193585002,0.193827189,0.204857911,0.199472313,0.202415009,0.20470511,0.16542182,0.164388335
Taiwan,0.116976349,0.130955676,0.13168222,0.121779593,0.113113565,0.110558585,0.115609808,0.127103233,0.119311304,0.114556928,0.113935561,0.112513548,0.1137155,0.113315008,0.108376353,0.107077561,0.109769228,0.125478155,0.1321082
US,0.420227961,0.385499508,0.388718251,0.38729416,0.358580893,0.329728675,0.304194536,0.294609742,0.291821831,0.342138686,0.355148686,0.352903719,0.37136513,0.364284432,0.349013975,0.341143291,0.349924573,0.322911204,0.317955074
