destination,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021
China,0.278380392,0.369918212,0.395400774,0.413378517,0.453981552,0.466573347,0.477147226,0.493309453,0.493933201,0.499533702,0.506475515,0.494666488,0.472547447,0.48248001,0.507488456,0.507698547,0.48035826,0.500801713,0.500414916
Japan,0.151163386,0.140520547,0.136899867,0.130059696,0.115891216,0.122469067,0.127555408,0.115454653,0.107235512,0.117519964,0.119035604,0.119896685,0.127906461,0.12741001,0.11765062,0.119961354,0.121823879,0.114380896,0.116091267
US,0.322926203,0.292591831,0.263764298,0.258204745,0.233309234,0.214794955,0.207160405,0.201760744,0.213929774,0.204086681,0.201655397,0.210026133,0.227275957,0.218534726,0.210283188,0.207768448,0.242023488,0.247110115,0.261076341
Europe,0.247530018,0.19696941,0.203935061,0.198357042,0.196817998,0.196162631,0.188136961,0.18947515,0.184901513,0.178859653,0.172833484,0.175410694,0.172270135,0.171575253,0.164577737,0.164571651,0.155794374,0.137707276,0.122417476
